Country/Region,Continent,TotalCases,TotalDeaths,TotalRecovered,ActiveCases
South Africa,Africa,538184,9604,387316,141264
Egypt,Africa,95006,4951,48898,41157
Nigeria,Africa,45244,930,32430,11884
Ghana,Africa,39642,199,36384,3059
Algeria,Africa,33626,1273,23238,9115
Morocco,Africa,29644,449,20553,8642
Kenya,Africa,24411,399,10444,13568
Ethiopia,Africa,20900,365,9027,11508
Cameroon,Africa,17718,391,15320,2007
Ivory Coast,Africa,16447,103,12484,3860
Madagascar,Africa,12526,134,10148,2244
Sudan,Africa,11780,763,6194,4823
Senegal,Africa,10715,223,7101,3391
DRC,Africa,9309,215,8048,1046
Gabon,Africa,7787,51,5609,2127
Guinea,Africa,7664,49,6757,858
Zambia,Africa,7164,199,5786,1179
Mauritania,Africa,6444,157,5291,996
Djibouti,Africa,5330,59,5057,214
Libya,Africa,4879,107,652,4120
Equatorial Guinea,Africa,4821,83,2182,2556
CAR,Africa,4620,59,1641,2920
Malawi,Africa,4491,137,2137,2217
Zimbabwe,Africa,4339,84,1264,2991
Congo,Africa,3546,58,1589,1899
Somalia,Africa,3227,93,1728,1406
Mayotte,Africa,3042,39,2738,265
Eswatini,Africa,2968,55,1476,1437
Cabo Verde,Africa,2734,27,2010,697
Namibia,Africa,2652,15,563,2074
Mali,Africa,2552,124,1954,474
South Sudan,Africa,2450,47,1175,1228
Mozambique,Africa,2120,15,795,1310
Rwanda,Africa,2111,5,1258,848
Guinea-Bissau,Africa,2032,27,944,1061
Benin,Africa,1936,38,1600,298
Sierra Leone,Africa,1877,67,1427,383
Tunisia,Africa,1642,51,1241,350
Angola,Africa,1483,64,520,899
Liberia,Africa,1224,78,705,441
Uganda,Africa,1223,5,1102,116
Burkina Faso,Africa,1158,54,961,143
Niger,Africa,1153,69,1057,27
Togo,Africa,1012,22,697,293
Chad,Africa,942,76,838,28
Gambia,Africa,935,16,136,783
Sao Tome and Principe,Africa,878,15,797,66
Botswana,Africa,804,2,63,739
Lesotho,Africa,742,23,175,544
Réunion,Africa,671,5,592,74
Tanzania,Africa,509,21,183,305
Comoros,Africa,396,7,340,49
Burundi,Africa,395,1,304,90
Mauritius,Africa,344,10,334,0
Eritrea,Africa,282,,225,57
Seychelles,Africa,126,,124,2
India,Asia,2025409,41638,1377384,606387
Iran,Asia,320117,17976,277463,24678
Saudi Arabia,Asia,284226,3055,247089,34082
Pakistan,Asia,281863,6035,256058,19770
Bangladesh,Asia,249651,3306,143824,102521
Turkey,Asia,237265,5798,220546,10921
Iraq,Asia,140603,5161,101025,34417
Philippines,Asia,119460,2150,66837,50473
Indonesia,Asia,118753,5521,75645,37587
Qatar,Asia,112092,178,108831,3083
Kazakhstan,Asia,95942,1058,68871,26013
Oman,Asia,80713,492,70910,9311
Israel,Asia,79559,576,53427,25556
Kuwait,Asia,70045,469,61610,7966
UAE,Asia,61845,354,55739,5752
Singapore,Asia,54555,27,48031,6497
Bahrain,Asia,42889,156,39945,2788
Japan,Asia,42263,1026,28877,12360
Armenia,Asia,39819,772,31556,7491
Kyrgyzstan,Asia,38659,1447,30099,7113
Afghanistan,Asia,36896,1298,25840,9758
Azerbaijan,Asia,33247,479,29275,3493
Uzbekistan,Asia,28315,175,19291,8849
Nepal,Asia,21750,65,15389,6296
S. Korea,Asia,14519,303,13543,673
Palestine,Asia,13398,92,6907,6399
Malaysia,Asia,9038,125,8713,200
Tajikistan,Asia,7665,62,6443,1160
Lebanon,Asia,5672,70,1974,3628
Maldives,Asia,4680,19,2725,1936
Hong Kong,Asia,3850,46,2458,1346
Thailand,Asia,3330,58,3148,124
Sri Lanka,Asia,2839,11,2541,287
Yemen,Asia,1768,508,898,362
Jordan,Asia,1232,11,1171,50
Cyprus,Asia,1208,19,856,333
Georgia,Asia,1206,17,987,202
Syria,Asia,999,48,311,640
Vietnam,Asia,747,10,392,345
Taiwan,Asia,477,7,443,27
Myanmar,Asia,357,6,308,43
Mongolia,Asia,293,,260,33
Cambodia,Asia,243,,210,33
Brunei ,Asia,141,3,138,0
Bhutan,Asia,105,,93,12
Macao,Asia,46,,46,0
Timor-Leste,Asia,25,,24,1
Laos,Asia,20,,19,1
Australia,Australia/Oceania,19890,255,10941,8694
New Zealand,Australia/Oceania,1569,22,1524,23
Papua New Guinea,Australia/Oceania,163,3,53,107
French Polynesia,Australia/Oceania,64,0,62,2
Fiji,Australia/Oceania,27,1,18,8
New Caledonia,Australia/Oceania,22,0,22,0
Russia,Europe,871894,14606,676357,180931
Spain,Europe,354530,28500,,
UK,Europe,308134,46413,,
Italy,Europe,249204,35187,201323,12694
Germany,Europe,215210,9252,196200,9758
France,Europe,195633,30312,82460,82861
Sweden,Europe,81967,5766,,
Ukraine,Europe,76808,1819,42524,32465
Belgium,Europe,71158,9859,17661,43638
Belarus,Europe,68503,580,63756,4167
Romania,Europe,57895,2566,28992,26337
Netherlands,Europe,56982,6153,,
Portugal,Europe,52061,1743,37840,12478
Poland,Europe,49515,1774,35642,12099
Switzerland,Europe,36108,1985,31600,2523
Serbia,Europe,27332,621,14047,12664
Moldova,Europe,26628,828,18676,7124
Ireland,Europe,26372,1768,23364,1240
Austria,Europe,21696,719,19596,1381
Czechia,Europe,17731,390,12320,5021
Denmark,Europe,14306,617,12787,902
Bosnia and Herzegovina,Europe,13396,384,7042,5970
Bulgaria,Europe,13014,435,7374,5205
North Macedonia,Europe,11399,517,7480,3402
Norway,Europe,9468,256,8857,355
Finland,Europe,7532,331,6980,221
Luxembourg,Europe,7073,119,5750,1204
Albania,Europe,6016,188,3155,2673
Croatia,Europe,5404,155,4688,561
Greece,Europe,5123,210,1374,3539
Hungary,Europe,4597,600,3463,534
Montenegro,Europe,3480,60,2178,1242
Slovakia,Europe,2480,29,1824,627
Slovenia,Europe,2223,125,1909,189
Lithuania,Europe,2171,81,1656,434
Estonia,Europe,2124,63,1954,107
Iceland,Europe,1930,10,1825,95
Latvia,Europe,1275,32,1070,173
Malta,Europe,946,9,670,267
Andorra,Europe,944,52,828,64
San Marino,Europe,699,42,657,0
Channel Islands,Europe,597,47,533,17
Isle of Man,Europe,336,24,312,0
USA,North America,5032179,162804,2576668,2292707
Mexico,North America,462690,50517,308848,103325
Canada,North America,118561,8966,103106,6489
Dominican Republic,North America,76536,1246,40539,34751
Panama,North America,71418,1574,45658,24186
Guatemala,North America,54339,2119,42070,10150
Honduras,North America,45098,1423,6116,37559
Costa Rica,North America,21070,200,7038,13832
El Salvador,North America,19126,513,9236,9377
Haiti,North America,7544,171,4832,2541
Nicaragua,North America,3902,123,2913,866
Cuba,North America,2775,88,2409,278
Jamaica,North America,958,12,745,201
Bahamas,North America,761,14,91,656
Guadeloupe,North America,279,14,179,86
Martinique,North America,276,15,98,163
Aruba,North America,263,3,114,146
Trinidad and Tobago,North America,210,8,135,67
Cayman Islands,North America,203,1,202,0
Sint Maarten,North America,160,16,64,80
Bermuda,North America,157,9,144,4
Barbados,North America,133,7,100,26
Turks and Caicos,North America,129,2,39,88
Antigua and Barbuda,North America,92,3,76,13
Belize,North America,86,2,31,53
Saint Martin,North America,53,3,41,9
Curaçao,North America,31,1,28,2
Brazil,South America,2917562,98644,2047660,771258
Peru,South America,455409,20424,310337,124648
Chile,South America,366671,9889,340168,16614
Colombia,South America,357710,11939,192355,153416
Argentina,South America,228195,4251,99852,124092
Ecuador,South America,90537,5877,71318,13342
Bolivia,South America,86423,3465,27373,55585
Venezuela,South America,22299,195,12146,9958
French Guiana,South America,8127,47,7240,840
Paraguay,South America,6375,66,4974,1335
Suriname,South America,2096,29,1446,621
Uruguay,South America,1318,37,1079,202
Guyana,South America,538,22,189,327
